dominio,variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Sociodemográfico,Gestante,Gestante: Ignorado,Confirmação,5944,55,48,3440,2401,0.7997516957364341,0.5411325137190683,1.1819706977824562,0.2680101134778657,p=0.2680: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,Gestante,Gestante: 2º Trimestre,Óbito por meningite,5944,0,14,395,5535,0.48262783905139717,0.028736166127395976,8.105800543982623,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Sociodemográfico,Gestante,Gestante: 2º Trimestre,Internação/hospitalização,5944,13,1,5372,558,1.3503350707371555,0.17631154911072344,10.341947606152692,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,Gestante,Gestante: 2º Trimestre,Confirmação,5944,8,6,3487,2443,0.9341363158397858,0.32370706214095346,2.695680010190086,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,RacaPaciente,RacaPaciente: Parda,Óbito por meningite,5944,230,3028,165,2521,1.1605420119290661,0.9437063493838074,1.4272000631677373,0.17367275589788483,p=0.1737: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,RacaPaciente,RacaPaciente: Parda,Internação/hospitalização,5944,2942,316,2443,243,0.9260584361414944,0.7769002180697294,1.1038537603703686,0.39666536623137916,p=0.3967: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,RacaPaciente,RacaPaciente: Parda,Confirmação,5944,1865,1393,1630,1056,0.867369274065331,0.7817089757226616,0.962416296802935,0.007497786199483455,p=0.0075: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,RacaPaciente,RacaPaciente: Branca,Óbito por meningite,5944,100,1715,295,3834,0.7578198349557741,0.5998066557107725,0.957460036137579,0.020366872893332104,p=0.0204: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,RacaPaciente,RacaPaciente: Branca,Internação/hospitalização,5944,1667,148,3718,411,1.2451059854906008,1.0229047234740958,1.515575086836306,0.029871184369757525,p=0.0299: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,RacaPaciente,RacaPaciente: Branca,Confirmação,5944,1122,693,2373,1756,1.1980815925190136,1.070044173598211,1.3414394823590445,0.0018142352912683597,p=0.0018: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,RacaPaciente,RacaPaciente: Preta,Óbito por meningite,5944,27,246,368,5303,1.5816211558854718,1.0484152440526942,2.38600639864291,0.03380584904261833,p=0.0338: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Sociodemográfico,RacaPaciente,RacaPaciente: Preta,Internação/hospitalização,5944,238,35,5147,524,0.6922867689916457,0.48008782712716486,0.9982776972054871,0.0553571614895394,p=0.0554: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,RacaPaciente,RacaPaciente: Preta,Confirmação,5944,160,113,3335,2336,0.9917872921946107,0.7750489986374586,1.2691352865276486,0.9498860663801243,p=0.9499: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,RacaPaciente,RacaPaciente: Ignorado,Óbito por meningite,5944,14,216,381,5333,0.9072372897832215,0.523198091304527,1.573169921015886,0.8923005339312777,p=0.8923: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,RacaPaciente,RacaPaciente: Ignorado,Internação/hospitalização,5944,206,24,5179,535,0.8866737465405162,0.5756278922884415,1.3657961042830136,0.5646071798369944,p=0.5646: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,RacaPaciente,RacaPaciente: Ignorado,Confirmação,5944,146,84,3349,2365,1.227409745624138,0.9336803783653663,1.6135443333302826,0.15147408771610357,p=0.1515: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,RacaPaciente,RacaPaciente: *Em Branco,Óbito por meningite,5944,10,151,385,5398,0.9285284252171669,0.48555983279047116,1.7756102919005525,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
