familia,indicador,escopo,recorte,valor,numerador,denominador,unidade,gerado_em
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2022,26.08695652173913,36.0,138,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2022,38.405797101449274,53.0,138,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2022,4.0,,138,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2022,16.0,,138,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2023,26.291079812206576,56.0,213,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2023,42.72300469483568,91.0,213,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2023,3.0,,213,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2023,16.0,,213,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2024,27.31707317073171,56.0,205,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2024,39.51219512195122,81.0,205,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2024,3.0,,205,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2024,14.0,,205,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2025,30.303030303030305,60.0,198,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2025,42.42424242424242,84.0,198,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2025,3.0,,198,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2025,15.0,,198,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2026,28.05755395683453,39.0,139,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2026,44.60431654676259,62.0,139,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2026,3.0,,139,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2026,11.0,,139,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,ESTADUAL,MATO GROSSO,53.51170568561873,160.0,299,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_com_data,ESTADUAL,MATO GROSSO,85.1063829787234,160.0,188,%,2026-07-29T12:37:49
