ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados
2007,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Meningite não especificada,1,1,1,0,,,,0.0
2007,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Meningite pneumocócica,1,1,1,0,,,,0.0
2007,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Meningite viral/asséptica,3,3,3,0,,,,0.0
2007,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Outras etiologias,1,0,1,0,,,,
2007,510785,SAO FELIX DO ARAGUAIA,SAO FELIX DO ARAGUAIA,Outras etiologias,2,0,2,0,,,,
2007,510787,SAPEZAL,TANGARA DA SERRA,Doença meningocócica,1,1,1,0,,,,0.0
2007,510787,SAPEZAL,TANGARA DA SERRA,Meningite não especificada,2,2,1,1,,,,50.0
2007,510787,SAPEZAL,TANGARA DA SERRA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510787,SAPEZAL,TANGARA DA SERRA,Outras etiologias,1,0,1,0,,,,
2007,510790,SINOP,SINOP,Doença meningocócica,1,1,1,0,,,,0.0
2007,510790,SINOP,SINOP,Meningite bacteriana/outras bactérias,2,2,2,0,,,,0.0
2007,510790,SINOP,SINOP,Meningite não especificada,2,2,2,0,,,,0.0
2007,510790,SINOP,SINOP,Meningite pneumocócica,1,1,1,1,,,,100.0
2007,510790,SINOP,SINOP,Meningite viral/asséptica,19,19,19,0,,,,0.0
2007,510790,SINOP,SINOP,Outras etiologias,26,0,25,0,,,,
2007,510792,SORRISO,SINOP,Doença meningocócica,1,1,1,0,,,,0.0
2007,510792,SORRISO,SINOP,Meningite não especificada,5,5,5,2,,,,40.0
2007,510794,TABAPORA,JUARA,Meningite pneumocócica,1,1,1,1,,,,100.0
2007,510795,TANGARA DA SERRA,TANGARA DA SERRA,Doença meningocócica,1,1,1,0,,,,0.0
2007,510795,TANGARA DA SERRA,TANGARA DA SERRA,Meningite bacteriana/outras bactérias,3,3,3,0,,,,0.0
2007,510795,TANGARA DA SERRA,TANGARA DA SERRA,Meningite não especificada,3,3,3,0,,,,0.0
2007,510795,TANGARA DA SERRA,TANGARA DA SERRA,Outras etiologias,74,0,73,0,,,,
2007,510840,VARZEA GRANDE,CUIABA,Doença meningocócica,2,2,2,0,,,,0.0
2007,510840,VARZEA GRANDE,CUIABA,Meningite bacteriana/outras bactérias,3,3,3,0,,,,0.0
2007,510840,VARZEA GRANDE,CUIABA,Meningite fúngica,1,1,1,0,,,,0.0
2007,510840,VARZEA GRANDE,CUIABA,Meningite não especificada,26,26,24,0,,,,0.0
2007,510840,VARZEA GRANDE,CUIABA,Meningite pneumocócica,4,4,4,1,,,,25.0
2007,510840,VARZEA GRANDE,CUIABA,Meningite por Hib/Hemófilo,2,2,1,1,,,,50.0
2007,510840,VARZEA GRANDE,CUIABA,Meningite viral/asséptica,13,13,12,0,,,,0.0
2007,510840,VARZEA GRANDE,CUIABA,Outras etiologias,35,0,29,0,,,,
2007,510850,VERA,SINOP,Doença meningocócica,1,1,1,0,,,,0.0
2007,510850,VERA,SINOP,Outras etiologias,1,0,1,0,,,,
2007,510895,NOVA MONTE VERDE,ALTA FLORESTA,Meningite não especificada,3,3,3,0,,,,0.0
2007,510895,NOVA MONTE VERDE,ALTA FLORESTA,Meningite viral/asséptica,3,3,3,0,,,,0.0
2007,510895,NOVA MONTE VERDE,ALTA FLORESTA,Outras etiologias,1,1,1,0,,,,0.0
2008,510020,AGUA BOA,AGUA BOA,Meningite não especificada,1,1,1,0,,,,0.0
2008,510025,ALTA FLORESTA,ALTA FLORESTA,Meningite pneumocócica,1,1,1,0,,,,0.0
2008,510025,ALTA FLORESTA,ALTA FLORESTA,Outras etiologias,1,0,1,0,,,,
2008,510030,ALTO ARAGUAIA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2008,510140,ARIPUANA,JUINA,Outras etiologias,1,1,1,1,,,,100.0
2008,510170,BARRA DO BUGRES,TANGARA DA SERRA,Outras etiologias,2,0,2,0,,,,
2008,510180,BARRA DO GARCAS,BARRA DO GARCAS,Outras etiologias,4,0,3,0,,,,
2008,510250,CACERES,CACERES,Meningite bacteriana/outras bactérias,6,6,5,0,,,,0.0
2008,510250,CACERES,CACERES,Meningite fúngica,1,1,1,0,,,,0.0
2008,510250,CACERES,CACERES,Meningite não especificada,3,3,3,0,,,,0.0
2008,510250,CACERES,CACERES,Meningite viral/asséptica,1,1,1,0,,,,0.0
2008,510250,CACERES,CACERES,Outras etiologias,4,1,4,0,,,,0.0
2008,510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,Meningite não especificada,1,1,0,0,,,,0.0
2008,510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,Outras etiologias,2,0,2,0,,,,
2008,510267,CAMPO VERDE,RONDONOPOLIS,Outras etiologias,3,0,3,0,,,,
2008,510268,CAMPOS DE JULIO,PONTES E LACERDA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2008,510270,CANARANA,AGUA BOA,Meningite por Hib/Hemófilo,2,2,2,0,,,,0.0
2008,510270,CANARANA,AGUA BOA,Meningite viral/asséptica,2,2,2,0,,,,0.0
2008,510300,CHAPADA DOS GUIMARAES,CUIABA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2008,510300,CHAPADA DOS GUIMARAES,CUIABA,Outras etiologias,1,0,1,0,,,,
2008,510305,CLAUDIA,SINOP,Outras etiologias,1,0,1,0,,,,
2008,510310,COCALINHO,AGUA BOA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2008,510320,COLIDER,COLIDER,Outras etiologias,3,0,3,0,,,,
2008,510325,COLNIZA,JUINA,Meningite não especificada,2,2,2,1,,,,50.0
2008,510325,COLNIZA,JUINA,Outras etiologias,1,0,1,0,,,,
2008,510330,COMODORO,PONTES E LACERDA,Doença meningocócica,1,1,1,0,,,,0.0
2008,510330,COMODORO,PONTES E LACERDA,Outras etiologias,1,0,1,0,,,,
2008,510335,CONFRESA,PORTO ALEGRE DO NORTE,Meningite não especificada,1,1,1,0,,,,0.0
2008,510335,CONFRESA,PORTO ALEGRE DO NORTE,Outras etiologias,1,0,1,0,,,,
2008,510340,CUIABA,CUIABA,Doença meningocócica,3,3,3,1,,,,33.33333333333333
2008,510340,CUIABA,CUIABA,Meningite bacteriana/outras bactérias,6,6,6,0,,,,0.0
2008,510340,CUIABA,CUIABA,Meningite fúngica,3,3,3,0,,,,0.0
2008,510340,CUIABA,CUIABA,Meningite não especificada,30,30,29,0,,,,0.0
2008,510340,CUIABA,CUIABA,Meningite pneumocócica,6,6,6,1,,,,16.666666666666664
2008,510340,CUIABA,CUIABA,Meningite tuberculosa,1,1,1,0,,,,0.0
2008,510340,CUIABA,CUIABA,Meningite viral/asséptica,17,17,17,0,,,,0.0
2008,510340,CUIABA,CUIABA,Outras etiologias,27,2,24,0,,,,0.0
2008,510350,DIAMANTINO,DIAMANTINO,Meningite não especificada,2,2,2,0,,,,0.0
2008,510350,DIAMANTINO,DIAMANTINO,Meningite pneumocócica,1,1,1,0,,,,0.0
2008,510350,DIAMANTINO,DIAMANTINO,Outras etiologias,2,0,2,0,,,,
2008,510390,GENERAL CARNEIRO,BARRA DO GARCAS,Outras etiologias,1,0,1,0,,,,
2008,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Meningite pneumocócica,2,2,2,0,,,,0.0
2008,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,Outras etiologias,4,0,4,0,,,,
2008,510420,GUIRATINGA,RONDONOPOLIS,Meningite não especificada,1,1,1,0,,,,0.0
2008,510450,INDIAVAI,CACERES,Outras etiologias,1,1,1,0,,,,0.0
2008,510454,ITANHANGA,SINOP,Meningite não especificada,1,1,1,0,,,,0.0
2008,510480,JACIARA,RONDONOPOLIS,Meningite não especificada,2,2,2,0,,,,0.0
2008,510480,JACIARA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2008,510480,JACIARA,RONDONOPOLIS,Outras etiologias,2,0,2,0,,,,
2008,510490,JANGADA,CUIABA,Outras etiologias,2,0,2,0,,,,
2008,510510,JUARA,JUARA,Outras etiologias,2,0,2,0,,,,
2008,510523,LAMBARI D OESTE,CACERES,Outras etiologias,1,1,1,0,,,,0.0
2008,510525,LUCAS DO RIO VERDE,SINOP,Outras etiologias,2,0,2,0,,,,
2008,510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,Outras etiologias,1,0,1,0,,,,
2008,510558,MARCELANDIA,COLIDER,Doença meningocócica,1,1,1,0,,,,0.0
2008,510558,MARCELANDIA,COLIDER,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2008,510558,MARCELANDIA,COLIDER,Outras etiologias,3,1,1,0,,,,0.0
2008,510562,MIRASSOL D OESTE,CACERES,Outras etiologias,3,0,1,0,,,,
2008,510590,NOBRES,DIAMANTINO,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2008,510590,NOBRES,DIAMANTINO,Meningite não especificada,1,1,1,0,,,,0.0
2008,510590,NOBRES,DIAMANTINO,Meningite viral/asséptica,1,1,1,0,,,,0.0
2008,510615,NOVA BANDEIRANTES,ALTA FLORESTA,Meningite não especificada,1,1,1,0,,,,0.0
2008,510619,NOVA SANTA HELENA,COLIDER,Outras etiologias,1,0,1,0,,,,
2008,510622,NOVA MUTUM,SINOP,Meningite fúngica,1,1,1,0,,,,0.0
2008,510623,NOVA OLIMPIA,TANGARA DA SERRA,Meningite não especificada,1,1,1,0,,,,0.0
2008,510623,NOVA OLIMPIA,TANGARA DA SERRA,Outras etiologias,1,0,1,0,,,,
2008,510629,PARANAITA,ALTA FLORESTA,Meningite pneumocócica,1,1,1,1,,,,100.0
2008,510629,PARANAITA,ALTA FLORESTA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2008,510629,PARANAITA,ALTA FLORESTA,Outras etiologias,1,0,1,0,,,,
2008,510630,PARANATINGA,RONDONOPOLIS,Meningite pneumocócica,1,1,1,0,,,,0.0
2008,510637,PEDRA PRETA,RONDONOPOLIS,Meningite viral/asséptica,3,3,3,0,,,,0.0
2008,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,Meningite não especificada,1,1,1,0,,,,0.0
2008,510650,POCONE,CUIABA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2008,510650,POCONE,CUIABA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2008,510650,POCONE,CUIABA,Outras etiologias,5,0,3,0,,,,
2008,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2008,510675,PONTES E LACERDA,PONTES E LACERDA,Meningite não especificada,1,1,1,0,,,,0.0
2008,510675,PONTES E LACERDA,PONTES E LACERDA,Outras etiologias,2,0,0,0,,,,
2008,510700,POXOREO,RONDONOPOLIS,Meningite não especificada,1,1,1,0,,,,0.0
2008,510700,POXOREO,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2008,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite fúngica,1,1,1,0,,,,0.0
2008,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Outras etiologias,4,0,2,0,,,,
2008,510706,QUERENCIA,AGUA BOA,Outras etiologias,2,0,2,0,,,,
