variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica,grupo_analise
SinaisESintomasKernigBrudzinski_bin_v17,SinaisESintomasKernigBrudzinski,Hospitalização,4893,341,4,4385,163,3.168928164196123,1.1680554704165491,8.597284944228052,0.012929451121915486,p=0.0129: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasAbaulamentoFontanela_bin_v17,SinaisESintomasAbaulamentoFontanela,Hospitalização,5116,291,4,4653,168,2.6266924564796907,0.9676155021149447,7.130428611206465,0.04546609956660086,p=0.0455: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasComa_bin_v17,SinaisESintomasComa,Hospitalização,5115,344,9,4597,165,1.3719092161554638,0.6951705462997089,2.7074433854981743,0.4466117400860903,p=0.4466: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
SinaisESintomasPetequiasSufusoesHemorragicas_bin_v17,SinaisESintomasPetequiasSufusoesHemorragicas,Hospitalização,5096,329,8,4593,166,1.4863379055083823,0.7247595980630513,3.0481836670465907,0.35077719301365456,p=0.3508: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
SinaisESintomasOutros_bin_v17,SinaisESintomasOutros,Hospitalização,4572,1365,47,3057,103,0.9785354853527656,0.6889680273000443,1.3898057067277656,0.9284454740869201,p=0.9284: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
DoencasPreexistentesAIDS_bin_v17,DoencasPreexistentesAIDS,Confirmação,4629,272,92,2631,1634,1.8361674350965909,1.4381572625655448,2.3443269644202314,4.555541864007533e-07,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesImunodepressoras_bin_v17,DoencasPreexistentesImunodepressoras,Confirmação,4598,53,27,2820,1698,1.1819542947202522,0.7407055891434928,1.886061041368776,0.5605612708968839,p=0.5606: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
DoencasPreexistentesIRA_bin_v17,DoencasPreexistentesIRA,Confirmação,4677,58,37,2875,1707,0.9307262044653349,0.6135452114776381,1.411878458952036,0.7484597201092865,p=0.7485: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
DoencasPreexistentesTuberculose_bin_v17,DoencasPreexistentesTuberculose,Confirmação,4656,66,26,2862,1702,1.5095952265763586,0.9551041236457471,2.3859992766059657,0.08145723283306787,p=0.0815: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesTraumatismo_bin_v17,DoencasPreexistentesTraumatismo,Confirmação,4724,144,41,2820,1719,2.14094447327452,1.5055374354530495,3.044522925639104,8.578069493682405e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesInfeccaoHospitalar_bin_v17,DoencasPreexistentesInfeccaoHospitalar,Confirmação,4688,47,10,2896,1735,2.8157803867403315,1.4191879143322714,5.586729640438032,0.0014278067411037983,p=0.0014: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesOutras_bin_v17,DoencasPreexistentesOutras,Confirmação,4302,454,275,2257,1316,0.9626036170298465,0.8166133264917966,1.1346933652181241,0.6738330642136748,p=0.6738: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
SinaisESintomasCefaleia_bin_v17,SinaisESintomasCefaleia,Confirmação,5098,2544,1245,596,713,2.4445055389342607,2.1504264881868655,2.77880102514856,8.138693647036279e-43,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasFebre_bin_v17,SinaisESintomasFebre,Confirmação,5395,2782,1537,547,529,1.7504576331061126,1.5297409991498367,2.0030200713730935,5.979732647735132e-16,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasVomitos_bin_v17,SinaisESintomasVomitos,Confirmação,5315,2346,1128,933,908,2.0240587443843925,1.8028759879683973,2.27237692889542,5.754053541314872e-33,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasConvulsoes_bin_v17,SinaisESintomasConvulsoes,Confirmação,5190,752,537,2444,1457,0.8348374158430024,0.7342857586153849,0.9491584205659132,0.0061212888143102814,p=0.0061: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.,Comorbidades/sinais/sintomas
SinaisESintomasRigidezNuca_bin_v17,SinaisESintomasRigidezNuca,Confirmação,5167,1656,760,1521,1230,1.7620678916225474,1.5720295584529957,1.9750794366376836,1.2871816580734844e-22,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasKernigBrudzinski_bin_v17,SinaisESintomasKernigBrudzinski,Confirmação,4893,218,127,2779,1769,1.0926776470321562,0.870977453630506,1.3708098129830986,0.45671445841489444,p=0.4567: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
SinaisESintomasAbaulamentoFontanela_bin_v17,SinaisESintomasAbaulamentoFontanela,Confirmação,5116,181,114,2951,1870,1.0061115173565904,0.7903203861638928,1.2808228195541742,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
SinaisESintomasComa_bin_v17,SinaisESintomasComa,Confirmação,5115,262,91,2876,1886,1.8880465848476975,1.4771029584749182,2.4133185070833263,1.6137643578056798e-07,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasPetequiasSufusoesHemorragicas_bin_v17,SinaisESintomasPetequiasSufusoesHemorragicas,Confirmação,5096,241,96,2888,1871,1.6263814346722067,1.27476115863581,2.0749899329197525,6.275606745370035e-05,p=0.0001: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasOutros_bin_v17,SinaisESintomasOutros,Confirmação,4572,923,489,1908,1252,1.2385649916614148,1.0867448544735567,1.4115946647958733,0.0013839586694866096,p=0.0014: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
