semana_epi_v17,classificacao_agrupada_v17,minimo,q25,media,mediana,q75,maximo,p95,observado,ano_observado
22,Meningite pneumocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
22,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
22,Meningite viral/asséptica,1,1.0,1.8888888888888888,2.0,2.0,4,3.5999999999999996,1.0,2026
22,Outras etiologias,1,1.25,2.7222222222222223,2.0,4.0,6,5.149999999999999,5.0,2026
23,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
23,Meningite bacteriana/outras bactérias,1,1.0,1.2,1.0,1.0,2,2.0,0.0,2026
23,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
23,Meningite não especificada,1,1.0,2.1666666666666665,2.0,2.25,6,4.899999999999999,2.0,2026
23,Meningite pneumocócica,1,1.0,1.1428571428571428,1.0,1.0,2,1.6999999999999993,1.0,2026
23,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
23,Meningite viral/asséptica,1,1.5,2.7142857142857144,3.0,3.5,5,4.699999999999999,1.0,2026
23,Outras etiologias,1,1.25,2.7777777777777777,2.0,4.0,6,5.149999999999999,2.0,2026
24,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
24,Meningite bacteriana/outras bactérias,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
24,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
24,Meningite não especificada,1,1.0,2.0,2.0,3.0,4,3.299999999999999,0.0,2026
24,Meningite pneumocócica,1,1.0,1.6,2.0,2.0,2,2.0,0.0,2026
24,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
24,Meningite viral/asséptica,1,1.0,2.25,1.5,3.0,8,5.2499999999999964,0.0,2026
24,Outras etiologias,1,1.0,3.1333333333333333,3.0,4.5,8,6.599999999999998,7.0,2026
25,Doença meningocócica,1,1.0,1.3333333333333333,1.0,1.5,2,1.9,0.0,2026
25,Meningite bacteriana/outras bactérias,1,1.0,1.3636363636363635,1.0,2.0,2,2.0,0.0,2026
25,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
25,Meningite não especificada,1,1.0,2.2,2.0,3.0,6,5.299999999999999,2.0,2026
25,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
25,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
25,Meningite viral/asséptica,1,1.0,1.8888888888888888,2.0,2.0,3,3.0,0.0,2026
25,Outras etiologias,1,2.0,3.533333333333333,3.0,5.0,6,6.0,3.0,2026
26,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
26,Meningite bacteriana/outras bactérias,1,1.0,1.375,1.0,2.0,2,2.0,0.0,2026
26,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
26,Meningite não especificada,1,1.0,1.9166666666666667,1.0,2.25,7,4.799999999999997,1.0,2026
26,Meningite pneumocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
26,Meningite viral/asséptica,1,1.0,1.5555555555555556,1.0,1.0,5,3.799999999999999,0.0,2026
26,Outras etiologias,2,2.0,3.2857142857142856,2.5,4.5,7,6.35,5.0,2026
27,Doença meningocócica,1,1.0,1.1666666666666667,1.0,1.0,2,1.75,0.0,2026
27,Meningite bacteriana/outras bactérias,1,1.0,2.0,2.0,3.0,3,3.0,0.0,2026
27,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
27,Meningite não especificada,1,1.0,1.75,1.5,2.0,4,3.25,0.0,2026
27,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,1.0,2026
27,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
27,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
27,Meningite viral/asséptica,1,2.0,2.6,2.0,3.5,6,5.099999999999998,0.0,2026
27,Outras etiologias,1,1.0,3.25,3.0,4.25,7,6.25,2.0,2026
28,Doença meningocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
28,Meningite bacteriana/outras bactérias,1,1.0,1.6,1.5,2.0,3,2.549999999999999,0.0,2026
28,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
28,Meningite não especificada,1,1.0,1.3846153846153846,1.0,2.0,3,2.3999999999999986,0.0,2026
28,Meningite pneumocócica,1,1.0,1.5,1.0,1.5,3,2.6999999999999993,0.0,2026
28,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
28,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
28,Meningite viral/asséptica,1,1.0,1.2,1.0,1.0,2,2.0,0.0,2026
28,Outras etiologias,1,1.25,2.6666666666666665,2.5,3.0,6,6.0,1.0,2026
29,Doença meningocócica,1,1.0,1.4,1.0,1.0,3,2.5999999999999996,0.0,2026
29,Meningite bacteriana/outras bactérias,1,1.0,1.3,1.0,1.0,3,2.549999999999999,0.0,2026
29,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
29,Meningite não especificada,1,1.0,1.7857142857142858,2.0,2.0,3,3.0,0.0,2026
29,Meningite pneumocócica,1,1.0,1.3333333333333333,1.0,1.5,2,1.9,0.0,2026
29,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
29,Meningite viral/asséptica,1,1.0,1.4,1.0,1.75,3,2.549999999999999,0.0,2026
29,Outras etiologias,1,1.0,2.8125,3.0,4.0,6,5.25,0.0,2026
30,Doença meningocócica,1,1.0,1.4,1.0,2.0,2,2.0,0.0,2026
30,Meningite bacteriana/outras bactérias,1,1.0,1.1666666666666667,1.0,1.0,2,1.75,0.0,2026
30,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
30,Meningite não especificada,1,1.0,1.6666666666666667,1.0,2.0,4,3.4499999999999993,0.0,2026
30,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
30,Meningite viral/asséptica,1,1.0,1.8888888888888888,1.0,3.0,4,3.5999999999999996,0.0,2026
30,Outras etiologias,1,1.0,2.125,2.0,2.25,5,5.0,0.0,2026
31,Doença meningocócica,1,1.0,2.6666666666666665,2.5,4.0,5,4.75,0.0,2026
31,Meningite bacteriana/outras bactérias,1,1.0,1.25,1.0,1.25,2,1.8499999999999996,0.0,2026
31,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
31,Meningite não especificada,1,1.0,2.5714285714285716,3.0,3.0,6,5.099999999999998,0.0,2026
31,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
31,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
31,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
31,Meningite viral/asséptica,1,1.5,1.8571428571428572,2.0,2.0,3,2.6999999999999993,0.0,2026
31,Outras etiologias,1,2.0,3.588235294117647,3.0,5.0,11,7.799999999999997,0.0,2026
32,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
32,Meningite bacteriana/outras bactérias,1,1.0,1.1428571428571428,1.0,1.0,2,1.6999999999999993,0.0,2026
32,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
32,Meningite não especificada,1,1.0,1.5,1.0,2.0,3,3.0,0.0,2026
32,Meningite pneumocócica,1,1.0,1.1666666666666667,1.0,1.0,2,1.75,0.0,2026
32,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
32,Meningite viral/asséptica,1,1.0,1.4285714285714286,1.0,2.0,2,2.0,0.0,2026
32,Outras etiologias,1,1.25,3.0,3.0,3.75,8,8.0,0.0,2026
33,Doença meningocócica,1,2.0,1.8,2.0,2.0,2,2.0,0.0,2026
33,Meningite bacteriana/outras bactérias,1,1.75,2.25,2.5,3.0,3,3.0,0.0,2026
33,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
33,Meningite não especificada,1,1.0,1.7142857142857142,2.0,2.0,3,3.0,0.0,2026
33,Meningite pneumocócica,1,1.0,1.4,1.0,1.0,3,2.5999999999999996,0.0,2026
33,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
33,Meningite viral/asséptica,1,1.0,1.7777777777777777,1.0,2.0,4,3.5999999999999996,0.0,2026
33,Outras etiologias,1,1.0,2.5294117647058822,3.0,4.0,4,4.0,0.0,2026
34,Doença meningocócica,1,1.0,1.25,1.0,1.25,2,1.8499999999999996,0.0,2026
34,Meningite bacteriana/outras bactérias,1,1.0,1.1666666666666667,1.0,1.0,2,1.75,0.0,2026
34,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
34,Meningite não especificada,1,1.0,1.6666666666666667,1.0,2.0,5,3.8999999999999986,0.0,2026
34,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
34,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
34,Meningite viral/asséptica,1,1.0,1.4,1.0,2.0,2,2.0,0.0,2026
34,Outras etiologias,1,2.0,2.3529411764705883,2.0,3.0,4,4.0,0.0,2026
35,Doença meningocócica,1,1.0,1.6,1.0,1.0,4,3.3999999999999995,0.0,2026
35,Meningite bacteriana/outras bactérias,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
35,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
35,Meningite não especificada,1,1.0,1.375,1.0,2.0,3,2.25,0.0,2026
35,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
35,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
35,Meningite viral/asséptica,1,1.0,1.25,1.0,1.25,2,2.0,0.0,2026
35,Outras etiologias,1,1.0,2.4444444444444446,2.0,3.75,5,5.0,0.0,2026
36,Doença meningocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
36,Meningite bacteriana/outras bactérias,1,1.0,1.3333333333333333,1.0,1.0,3,2.5999999999999996,0.0,2026
36,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
36,Meningite não especificada,1,1.0,1.6363636363636365,2.0,2.0,3,2.5,0.0,2026
36,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
36,Meningite viral/asséptica,1,1.0,1.125,1.0,1.0,2,1.6499999999999995,0.0,2026
36,Outras etiologias,1,2.0,2.933333333333333,3.0,3.5,6,5.299999999999999,0.0,2026
37,Doença meningocócica,1,1.0,1.5,1.5,2.0,2,2.0,0.0,2026
37,Meningite bacteriana/outras bactérias,1,1.0,1.5714285714285714,1.0,2.0,3,2.6999999999999993,0.0,2026
37,Meningite fúngica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
37,Meningite não especificada,1,1.0,2.0,2.0,2.0,4,3.3999999999999986,0.0,2026
37,Meningite pneumocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
37,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
37,Meningite viral/asséptica,1,1.0,1.5,1.5,2.0,2,2.0,0.0,2026
37,Outras etiologias,1,2.0,3.0555555555555554,2.5,3.75,9,6.449999999999996,0.0,2026
38,Doença meningocócica,1,1.0,1.5,1.5,2.0,2,2.0,0.0,2026
