ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_municipio,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2019,510682,PORTO ESPERIDIAO,CACERES,1,1,0,2334495.0,municipal_soma_com_carry,12176.0,12176.0,8.21287779237845,0.0,0.0
2019,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,4,4,1,2334495.0,municipal_soma_com_carry,63092.0,63092.0,6.339948012426299,1.5849870031065747,25.0
2019,510718,RIBEIRAO CASCALHEIRA,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,10340.0,10340.0,9.671179883945841,0.0,0.0
2019,510729,SAO JOSE DO POVO,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,2716.0,2716.0,36.81885125184094,0.0,0.0
2019,510740,SAO PEDRO DA CIPA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,4191.0,4191.0,23.860653781913623,0.0,0.0
2019,510760,RONDONOPOLIS,RONDONOPOLIS,11,11,0,2334495.0,municipal_soma_com_carry,236042.0,236042.0,4.660187593733319,0.0,0.0
2019,510787,SAPEZAL,TANGARA DA SERRA,2,2,2,2334495.0,municipal_soma_com_carry,26688.0,26688.0,7.494004796163069,7.494004796163069,100.0
2019,510790,SINOP,SINOP,13,13,0,2334495.0,municipal_soma_com_carry,148960.0,148960.0,8.727175080558538,0.0,0.0
2019,510792,SORRISO,SINOP,3,3,0,2334495.0,municipal_soma_com_carry,92769.0,92769.0,3.2338388901464925,0.0,0.0
2019,510795,TANGARA DA SERRA,TANGARA DA SERRA,3,3,0,2334495.0,municipal_soma_com_carry,105711.0,105711.0,2.8379260436473026,0.0,0.0
2019,510840,VARZEA GRANDE,CUIABA,12,12,2,2334495.0,municipal_soma_com_carry,287526.0,287526.0,4.173535610692598,0.6955892684487663,16.666666666666664
2019,510860,VILA RICA,PORTO ALEGRE DO NORTE,1,1,0,2334495.0,municipal_soma_com_carry,26496.0,26496.0,3.7741545893719803,0.0,0.0
