estrato,horizonte_se,ano_epi_v17,semana_epi_v17,periodo,pred,lower_80,upper_80,modelo_ma4,modelo_ma8,modelo_sazonal_52,modelo_tendencia
REGIONAL::JUARA,2,2026,33,2026-S33,0.0,0.0,0.1061319932913728,0.0,0.0,0.0,0.0
REGIONAL::JUARA,3,2026,34,2026-S34,0.0,0.0,0.1061319932913728,0.0,0.0,0.0,0.0
REGIONAL::JUARA,4,2026,35,2026-S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::JUARA,5,2026,36,2026-S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::JUARA,6,2026,37,2026-S37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::JUARA,7,2026,38,2026-S38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::JUARA,8,2026,39,2026-S39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::JUINA,1,2026,32,2026-S32,0.06831395348837209,0.0,0.47541266596356047,0.0,0.27325581395348836,0.0,0.0
REGIONAL::JUINA,2,2026,33,2026-S33,0.07471838662790697,0.0,0.47341188091886766,0.017078488372093022,0.28179505813953487,0.0,0.0
REGIONAL::JUINA,3,2026,34,2026-S34,0.10214626105256783,0.0,0.47749788141986726,0.03575808502906977,0.29113485646802323,0.0,0.08169210271317827
REGIONAL::JUINA,4,2026,35,2026-S35,0.12159523286252673,0.0,0.49710754325135376,0.061294650292211726,0.3039031390995942,0.0,0.121183142058301
REGIONAL::JUINA,5,2026,36,2026-S36,0.07268777454032864,0.0,0.3743291888451334,0.09169345850784341,0.045846729253921706,0.0,0.15321091039954943
REGIONAL::JUINA,6,2026,37,2026-S37,0.06900856869894728,0.0,0.358263171263677,0.09278691377083255,0.05493270107146278,0.0,0.1283146599534938
REGIONAL::JUINA,7,2026,38,2026-S38,0.06033657053813551,0.0,0.3346014618378869,0.09135945928859263,0.0635587721588312,0.0,0.08642805070511819
REGIONAL::JUINA,8,2026,39,2026-S39,0.05335009606823995,0.0,0.32080950915492534,0.08090703665998454,0.07110084347609813,0.0,0.0613925041368771
REGIONAL::PEIXOTO DE AZEVEDO,1,2026,32,2026-S32,0.25,0.0,0.9103882517134134,0.0,0.0,1.0,0.0
REGIONAL::PEIXOTO DE AZEVEDO,2,2026,33,2026-S33,0.06510416666666666,0.0,0.2523449347188502,0.0625,0.03125,0.0,0.1666666666666666
REGIONAL::PEIXOTO DE AZEVEDO,3,2026,34,2026-S34,0.0695583767361111,0.0,0.17215720768370443,0.07877604166666666,0.03938802083333333,0.0,0.16006944444444438
REGIONAL::PEIXOTO DE AZEVEDO,4,2026,35,2026-S35,0.07191732901114004,0.0,0.16735502538610492,0.09616563585069443,0.048082817925347215,0.0,0.14342086226851847
REGIONAL::PEIXOTO DE AZEVEDO,5,2026,36,2026-S36,0.07141267293765219,0.0,0.15907997786808692,0.11414496810347943,0.057072484051739716,0.0,0.11443323959538959
REGIONAL::PEIXOTO DE AZEVEDO,6,2026,37,2026-S37,0.051555729561136555,0.0,0.11655869847880981,0.0694981363378925,0.06599906816894624,0.0,0.0707257137377075
REGIONAL::PEIXOTO DE AZEVEDO,7,2026,38,2026-S38,0.034638640356399575,0.0,0.10542164755049947,0.06611102706150997,0.07244353436408832,0.0,0.0
REGIONAL::PEIXOTO DE AZEVEDO,8,2026,39,2026-S39,0.043542063417940834,0.0,0.10559376750283783,0.05738109296658209,0.07677336440863826,0.0,0.040013796296542975
REGIONAL::PONTES E LACERDA,1,2026,32,2026-S32,0.06433823529411764,0.0,0.3543672710673923,0.0,0.25735294117647056,0.0,0.0
REGIONAL::PONTES E LACERDA,2,2026,33,2026-S33,0.049842984068627444,0.0,0.2662019535581449,0.01608455882352941,0.14039522058823528,0.0,0.042892156862745084
REGIONAL::PONTES E LACERDA,3,2026,34,2026-S34,0.0596060160717933,0.0,0.2759961878050705,0.02854530484068627,0.14662559359681374,0.0,0.06325316584967319
REGIONAL::PONTES E LACERDA,4,2026,35,2026-S35,0.03633111982823456,0.0,0.21942489522230774,0.0434468088586346,0.0217234044293173,0.0,0.08015426602498635
REGIONAL::PONTES E LACERDA,5,2026,36,2026-S36,0.28710298717844374,0.0,0.9589955817274411,0.05252958881569324,0.02626479440784662,1.0,0.06961756549023505
REGIONAL::PONTES E LACERDA,6,2026,37,2026-S37,0.09734233262047576,0.0,0.3113895715447412,0.10822077678677476,0.062152667805152086,0.0,0.21899588588997615
REGIONAL::PONTES E LACERDA,7,2026,38,2026-S38,0.09471564478070794,0.0,0.29144608597592997,0.12009561392473683,0.07432045938271155,0.0,0.1844465058153834
REGIONAL::PONTES E LACERDA,8,2026,39,2026-S39,0.0945060488906613,0.0,0.20246053222799565,0.1288730211019655,0.08615991498030004,0.0,0.16299125948037965
REGIONAL::PORTO ALEGRE DO NORTE,1,2026,32,2026-S32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::PORTO ALEGRE DO NORTE,2,2026,33,2026-S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::PORTO ALEGRE DO NORTE,3,2026,34,2026-S34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::PORTO ALEGRE DO NORTE,4,2026,35,2026-S35,0.25,0.0,0.8042562584220407,0.0,0.0,1.0,0.0
REGIONAL::PORTO ALEGRE DO NORTE,5,2026,36,2026-S36,0.06510416666666666,0.0,0.17184522775961625,0.0625,0.03125,0.0,0.1666666666666666
REGIONAL::PORTO ALEGRE DO NORTE,6,2026,37,2026-S37,0.3195583767361111,0.0,0.8522891668454319,0.07877604166666666,0.03938802083333333,1.0,0.16006944444444438
REGIONAL::PORTO ALEGRE DO NORTE,7,2026,38,2026-S38,0.13702149567780667,0.0,0.3244693404172076,0.15866563585069443,0.07933281792534722,0.0,0.31008752893518504
REGIONAL::PORTO ALEGRE DO NORTE,8,2026,39,2026-S39,0.14097104967376328,0.0,0.313909857864209,0.1929210097701461,0.09646050488507305,0.0,0.274502684039834
REGIONAL::RONDONOPOLIS,1,2026,32,2026-S32,0.0625,0.0,0.3820834005892663,0.0,0.25,0.0,0.0
REGIONAL::RONDONOPOLIS,2,2026,33,2026-S33,0.5475260416666666,0.0,1.8020823387762914,0.015625,0.1328125,2.0,0.04166666666666665
REGIONAL::RONDONOPOLIS,3,2026,34,2026-S34,0.40573594835069443,0.0,1.0462994334306348,0.15250651041666666,0.07625325520833333,1.0,0.39418402777777767
REGIONAL::RONDONOPOLIS,4,2026,35,2026-S35,0.23089504948368775,0.0,0.6499398056835551,0.2539404975043403,0.12697024875217014,0.0,0.5426694516782405
REGIONAL::RONDONOPOLIS,5,2026,36,2026-S36,0.2402358691191967,0.0,0.6166610359792498,0.3116642598752622,0.1558321299376311,0.0,0.49344708666389353
REGIONAL::RONDONOPOLIS,6,2026,37,2026-S37,0.4865581913939351,0.0,0.9942943463603259,0.35609822715506134,0.1858616135775307,1.0,0.40427292484314825
REGIONAL::RONDONOPOLIS,7,2026,38,2026-S38,0.7547010307009266,0.0,1.7564885648072468,0.34085626458687845,0.24668138750177254,2.0,0.43126647071505586
REGIONAL::RONDONOPOLIS,8,2026,39,2026-S39,0.3355400390066656,0.0,0.7022283145828555,0.42809753517443655,0.3410190163393884,0.0,0.5730436045128375
REGIONAL::SINOP,1,2026,32,2026-S32,0.37589285714285714,0.0,1.1935423160710923,0.0,0.5035714285714286,1.0,0.0
REGIONAL::SINOP,2,2026,33,2026-S33,0.3798828125,0.0,1.1662758377877431,0.09397321428571428,0.4255580357142857,1.0,0.0
REGIONAL::SINOP,3,2026,34,2026-S34,0.21016479492187498,0.0,0.6829451327492143,0.18894391741071428,0.22304338727678574,0.0,0.4286718749999999
REGIONAL::SINOP,4,2026,35,2026-S35,0.7271064267839704,0.0,1.9505603565965208,0.24148511614118304,0.2493139866420201,2.0,0.4176266043526784
REGIONAL::SINOP,5,2026,36,2026-S36,0.5860171783878689,0.0,1.1932375285170203,0.42326172283717567,0.21163086141858783,1.0,0.7091761292957123
REGIONAL::SINOP,6,2026,37,2026-S37,0.6304801704541795,0.062431772082734094,1.1985285688256249,0.4757928031484286,0.28488300871707145,1.0,0.7612448699512179
REGIONAL::SINOP,7,2026,38,2026-S38,0.40697183557521005,0.0,0.8789875767362487,0.5384421426369734,0.36369303002384384,0.0,0.7257521696400229
REGIONAL::SINOP,8,2026,39,2026-S39,0.654460620349814,0.25682024429855566,1.0521009964010724,0.5876439028003072,0.41456450947074514,1.0,0.6156340691282034
REGIONAL::TANGARA DA SERRA,1,2026,32,2026-S32,0.53125,0.0,1.7617405280854415,0.0,0.125,2.0,0.0
REGIONAL::TANGARA DA SERRA,2,2026,33,2026-S33,0.16959635416666663,0.0,0.4789057630424237,0.1328125,0.19140625,0.0,0.3541666666666665
REGIONAL::TANGARA DA SERRA,3,2026,34,2026-S34,0.40594957139756943,0.0,1.007441713752947,0.17521158854166666,0.08760579427083333,1.0,0.36098090277777767
REGIONAL::TANGARA DA SERRA,4,2026,35,2026-S35,0.22662328790735312,0.0,0.5755335820210971,0.27669898139105903,0.13834949069552951,0.0,0.4914446795428239
REGIONAL::TANGARA DA SERRA,5,2026,36,2026-S36,0.4802999728550145,0.0,0.9966357763347853,0.3333548033678973,0.16667740168394865,1.0,0.4211676863682121
REGIONAL::TANGARA DA SERRA,6,2026,37,2026-S37,0.25550400511242843,0.0,0.591875064082842,0.32061729658165095,0.22671489829082547,0.0,0.47468382557723726
REGIONAL::TANGARA DA SERRA,7,2026,38,2026-S38,0.4707557749920431,0.0020108925088477836,0.9395006574752384,0.34209420931809137,0.258652898929879,1.0,0.28227599172020207
REGIONAL::TANGARA DA SERRA,8,2026,39,2026-S39,0.28534875027858797,0.0,0.5862386352333395,0.3582957602167098,0.3174973708038844,0.0,0.46560187009375775
