escopo,recorte,casos_total,com_lead_time,notificacao_le_1d_n,pct_notificacao_le_1d,p50_deteccao_dias,p90_deteccao_dias
REGIONAL_CLASSIFICACAO,PORTO ALEGRE DO NORTE | Doença meningocócica,2,2,1,50.0,2.0,2.8
REGIONAL_CLASSIFICACAO,PORTO ALEGRE DO NORTE | Meningite bacteriana/outras bactérias,1,1,0,0.0,6.0,6.0
REGIONAL_CLASSIFICACAO,PORTO ALEGRE DO NORTE | Meningite fúngica,1,1,0,0.0,21.0,21.0
REGIONAL_CLASSIFICACAO,PORTO ALEGRE DO NORTE | Meningite não especificada,10,10,2,20.0,10.0,22.699999999999996
REGIONAL_CLASSIFICACAO,PORTO ALEGRE DO NORTE | Meningite pneumocócica,2,2,0,0.0,5.5,8.3
REGIONAL_CLASSIFICACAO,PORTO ALEGRE DO NORTE | Meningite tuberculosa,1,1,0,0.0,34.0,34.0
REGIONAL_CLASSIFICACAO,PORTO ALEGRE DO NORTE | Outras etiologias,45,45,13,28.888888888888886,3.0,13.600000000000001
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Doença meningocócica,48,48,20,41.66666666666667,2.0,6.0
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Meningite bacteriana/outras bactérias,75,75,19,25.333333333333336,5.0,16.800000000000026
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Meningite fúngica,32,31,4,12.903225806451612,6.0,31.0
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Meningite não especificada,170,170,40,23.52941176470588,4.0,11.099999999999994
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Meningite pneumocócica,90,90,19,21.11111111111111,3.0,12.200000000000017
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Meningite por Hib/Hemófilo,1,1,0,0.0,13.0,13.0
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Meningite tuberculosa,4,4,1,25.0,10.5,28.800000000000004
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Meningite viral/asséptica,219,218,45,20.642201834862387,4.0,9.0
REGIONAL_CLASSIFICACAO,RONDONOPOLIS | Outras etiologias,249,247,78,31.57894736842105,3.0,12.0
REGIONAL_CLASSIFICACAO,SAO FELIX DO ARAGUAIA | Outras etiologias,11,10,3,30.0,2.0,4.599999999999998
REGIONAL_CLASSIFICACAO,SINOP | Doença meningocócica,66,66,16,24.242424242424242,2.5,7.5
REGIONAL_CLASSIFICACAO,SINOP | Meningite bacteriana/outras bactérias,68,67,10,14.925373134328357,4.0,13.399999999999999
REGIONAL_CLASSIFICACAO,SINOP | Meningite fúngica,24,24,1,4.166666666666666,10.0,28.499999999999996
REGIONAL_CLASSIFICACAO,SINOP | Meningite não especificada,158,157,43,27.388535031847134,3.0,11.0
REGIONAL_CLASSIFICACAO,SINOP | Meningite pneumocócica,25,25,8,32.0,3.0,12.600000000000001
REGIONAL_CLASSIFICACAO,SINOP | Meningite por Hib/Hemófilo,2,2,1,50.0,16.0,28.0
REGIONAL_CLASSIFICACAO,SINOP | Meningite tuberculosa,3,3,0,0.0,10.0,21.2
REGIONAL_CLASSIFICACAO,SINOP | Meningite viral/asséptica,186,186,44,23.655913978494624,3.0,7.0
REGIONAL_CLASSIFICACAO,SINOP | Outras etiologias,300,298,106,35.57046979865772,2.0,9.300000000000011
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Doença meningocócica,7,7,3,42.857142857142854,2.0,5.4
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Meningite bacteriana/outras bactérias,16,16,1,6.25,3.5,13.5
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Meningite fúngica,5,5,0,0.0,17.0,51.60000000000001
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Meningite não especificada,49,49,16,32.6530612244898,3.0,9.200000000000003
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Meningite pneumocócica,11,11,3,27.27272727272727,4.0,31.0
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Meningite por Hib/Hemófilo,1,1,0,0.0,13.0,13.0
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Meningite tuberculosa,1,1,0,0.0,29.0,29.0
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Meningite viral/asséptica,31,31,6,19.35483870967742,3.0,10.0
REGIONAL_CLASSIFICACAO,TANGARA DA SERRA | Outras etiologias,223,223,97,43.49775784753363,2.0,8.0
