Cód.IBGE_6,Cód.IBGE_7,UF,Município,2020,2021,2022,2023,2024,2025
150820,1508209,PA,Vigia,54'172,54'650,50'832,53'609,53'806,54'062
150830,1508308,PA,Viseu,61'751,62'093,58'692,61'962,61'970,62'189
150835,1508357,PA,Vitória do Xingu,15'279,15'421,15'607,16'250,16'414,16'552
150840,1508407,PA,Xinguara,45'086,45'416,52'893,55'913,56'999,57'768
160005,1600055,AP,Serra do Navio,5'488,5'577,4'673,4'943,4'986,5'003
160010,1600105,AP,Amapá,9'187,9'265,7'943,8'451,8'434,8'440
160015,1600154,AP,Pedra Branca do Amapari,17'067,17'625,12'847,13'604,13'798,13'888
160020,1600204,AP,Calçoene,11'306,11'493,10'612,11'268,11'391,11'461
160021,1600212,AP,Cutias,6'101,6'217,4'461,4'730,4'725,4'723
160023,1600238,AP,Ferreira Gomes,7'967,8'151,6'666,7'082,7'145,7'184
160025,1600253,AP,Itaubal,5'617,5'730,5'599,5'936,6'043,6'097
160027,1600279,AP,Laranjal do Jari,51'362,52'302,35'114,38'462,37'969,37'872
160030,1600303,AP,Macapá,512'902,522'357,442'933,484'629,487'200,489'676
160040,1600402,AP,Mazagão,22'053,22'468,21'924,23'214,23'575,23'773
160050,1600501,AP,Oiapoque,27'906,28'534,27'482,29'856,30'481,30'786
160053,1600535,AP,Porto Grande,22'452,22'927,17'848,18'971,18'988,19'048
160055,1600550,AP,Pracuúba,5'246,5'370,3'803,4'033,4'042,4'048
160060,1600600,AP,Santana,123'096,124'808,107'618,118'128,118'353,118'803
160070,1600709,AP,Tartarugalzinho,17'769,18'217,12'945,13'797,13'785,13'816
160080,1600808,AP,Vitória do Jari,16'254,16'572,11'291,12'020,11'922,11'899
170025,1700251,TO,Abreulândia,2'594,2'609,2'576,2'633,2'668,2'682
170030,1700301,TO,Aguiarnópolis,6'892,7'049,4'497,4'560,4'537,4'502
170035,1700350,TO,Aliança do Tocantins,5'346,5'303,5'147,5'252,5'222,5'196
170040,1700400,TO,Almas,6'979,6'905,6'499,6'601,6'542,6'483
170070,1700707,TO,Alvorada,8'396,8'381,8'802,9'065,9'094,9'128
170100,1701002,TO,Ananás,9'492,9'435,10'325,10'641,10'662,10'700
170105,1701051,TO,Angico,3'454,3'475,2'876,2'922,2'918,2'903
170110,1701101,TO,Aparecida do Rio Negro,4'848,4'901,4'856,5'024,5'067,5'110
170130,1701309,TO,Aragominas,5'731,5'705,5'290,5'398,5'360,5'330
170190,1701903,TO,Araguacema,7'155,7'223,5'927,6'050,6'039,6'022
170200,1702000,TO,Araguaçu,8'467,8'418,8'133,8'323,8'273,8'242
170210,1702109,TO,Araguaína,183'381,186'245,171'301,179'778,181'493,183'024
170215,1702158,TO,Araguanã,5'793,5'856,4'310,4'363,4'338,4'300
170220,1702208,TO,Araguatins,36'170,36'573,31'918,33'238,33'205,33'286
170230,1702307,TO,Arapoema,6'616,6'590,5'550,5'627,5'553,5'488
170240,1702406,TO,Arraias,10'534,10'502,10'287,10'558,10'522,10'511
170255,1702554,TO,Augustinópolis,18'643,18'870,17'484,18'031,18'128,18'237
170270,1702703,TO,Aurora do Tocantins,3'783,3'809,3'342,3'424,3'420,3'418
